bigcup	⋃	短縮よみ	U+22C3 N-ARY UNION
bigcap	⋂	短縮よみ	U+22C2 N-ARY INTERSECTION
setminus	∖	短縮よみ	U+2216 SET MINUS
smallsetminus	∖	短縮よみ	U+2216 SET MINUS
complement	∁	短縮よみ	U+2201 COMPLEMENT
empty	∅	短縮よみ	U+2205 EMPTY SET
emptyset	∅	短縮よみ	U+2205 EMPTY SET
varnothing	∅	短縮よみ	U+2205 EMPTY SET
powerset	℘	短縮よみ	U+2118 SCRIPT CAPITAL P
wp	℘	短縮よみ	U+2118 SCRIPT CAPITAL P
uplus	⊎	短縮よみ	U+228E MULTISET UNION
disjointunion	⊎	短縮よみ	U+228E MULTISET UNION
sqcup	⊔	短縮よみ	U+2294 SQUARE CUP
sqcap	⊓	短縮よみ	U+2293 SQUARE CAP
pm	±	短縮よみ	U+00B1 PLUS-MINUS SIGN
plusminus	±	短縮よみ	U+00B1 PLUS-MINUS SIGN
mp	∓	短縮よみ	U+2213 MINUS-OR-PLUS SIGN
minusplus	∓	短縮よみ	U+2213 MINUS-OR-PLUS SIGN
times	×	短縮よみ	U+00D7 MULTIPLICATION SIGN
xx	×	短縮よみ	U+00D7 MULTIPLICATION SIGN
mul	×	短縮よみ	U+00D7 MULTIPLICATION SIGN
div	÷	短縮よみ	U+00F7 DIVISION SIGN
divide	÷	短縮よみ	U+00F7 DIVISION SIGN
cdot	⋅	短縮よみ	U+22C5 DOT OPERATOR
dot	⋅	短縮よみ	U+22C5 DOT OPERATOR
dotop	⋅	短縮よみ	U+22C5 DOT OPERATOR
bullet	∙	短縮よみ	U+2219 BULLET OPERATOR
ast	∗	短縮よみ	U+2217 ASTERISK OPERATOR
asterisk	∗	短縮よみ	U+2217 ASTERISK OPERATOR
star	⋆	短縮よみ	U+22C6 STAR OPERATOR
circ	∘	短縮よみ	U+2218 RING OPERATOR
compose	∘	短縮よみ	U+2218 RING OPERATOR
comp	∘	短縮よみ	U+2218 RING OPERATOR
oplus	⊕	短縮よみ	U+2295 CIRCLED PLUS
ominus	⊖	短縮よみ	U+2296 CIRCLED MINUS
otimes	⊗	短縮よみ	U+2297 CIRCLED TIMES
oslash	⊘	短縮よみ	U+2298 CIRCLED DIVISION SLASH
odot	⊙	短縮よみ	U+2299 CIRCLED DOT OPERATOR
bigoplus	⨁	短縮よみ	U+2A01 N-ARY CIRCLED PLUS OPERATOR
bigotimes	⨂	短縮よみ	U+2A02 N-ARY CIRCLED TIMES OPERATOR
bigodot	⨀	短縮よみ	U+2A00 N-ARY CIRCLED DOT OPERATOR
sum	∑	短縮よみ	U+2211 N-ARY SUMMATION
Sigmaop	∑	短縮よみ	U+2211 N-ARY SUMMATION
prod	∏	短縮よみ	U+220F N-ARY PRODUCT
Piop	∏	短縮よみ	U+220F N-ARY PRODUCT
coprod	∐	短縮よみ	U+2210 N-ARY COPRODUCT
sqrt	√	短縮よみ	U+221A SQUARE ROOT
root	√	短縮よみ	U+221A SQUARE ROOT
cuberoot	∛	短縮よみ	U+221B CUBE ROOT
cbrt	∛	短縮よみ	U+221B CUBE ROOT
fourthroot	∜	短縮よみ	U+221C FOURTH ROOT
integral	∫	短縮よみ	U+222B INTEGRAL
int	∫	短縮よみ	U+222B INTEGRAL
iint	∬	短縮よみ	U+222C DOUBLE INTEGRAL
doubleint	∬	短縮よみ	U+222C DOUBLE INTEGRAL
iiint	∭	短縮よみ	U+222D TRIPLE INTEGRAL
tripleint	∭	短縮よみ	U+222D TRIPLE INTEGRAL
oint	∮	短縮よみ	U+222E CONTOUR INTEGRAL
contourint	∮	短縮よみ	U+222E CONTOUR INTEGRAL
oiint	∯	短縮よみ	U+222F SURFACE INTEGRAL
surfaceint	∯	短縮よみ	U+222F SURFACE INTEGRAL
oiiint	∰	短縮よみ	U+2230 VOLUME INTEGRAL
volumeint	∰	短縮よみ	U+2230 VOLUME INTEGRAL
